x1,y1,x2,y2
779.400,481.713,633.326,576.616
775.994,482.308,633.710,578.217
773.007,482.673,634.719,575.914
770.259,483.144,635.599,571.907
766.955,483.342,643.304,566.809
763.105,483.989,657.648,551.988
758.644,484.273,667.620,542.253
757.067,483.070,675.036,535.064
748.799,476.757,680.115,530.078
742.306,472.187,686.128,523.479
737.761,469.217,680.144,504.642
733.162,466.045,674.899,484.908
731.162,464.704,671.454,470.798
728.287,462.719,668.892,459.667
725.481,461.017,667.158,451.999
724.711,460.728,665.749,444.342
721.742,458.810,664.200,437.062
719.949,457.685,663.133,429.662
717.090,455.419,662.434,423.760
715.018,454.111,661.467,417.623
715.023,454.397,660.889,414.813
713.153,453.133,660.392,412.768
712.457,453.053,660.097,408.916
710.949,452.028,663.836,398.025
699.136,456.396,677.032,378.796
686.398,460.723,685.878,368.153
681.331,462.954,692.033,361.161
677.635,464.669,701.604,352.257
674.226,466.345,705.232,348.350
670.705,467.905,709.694,344.330
666.978,469.478,713.113,340.918
664.506,470.745,717.189,337.563
663.107,471.571,719.416,335.392
663.010,471.958,722.808,332.507
660.359,473.059,724.910,330.836
660.211,474.215,726.810,329.794
656.327,488.745,735.926,327.109
653.027,503.969,738.508,325.805
650.903,513.232,743.321,324.136
649.667,518.533,757.091,310.540
648.192,523.722,776.214,300.475
647.053,528.576,790.050,293.527
645.479,534.729,800.320,288.535
644.305,540.177,808.845,284.510
644.173,541.080,815.127,281.560
643.798,542.998,819.598,282.237
643.287,544.961,838.488,296.069
643.242,546.454,848.771,304.385
642.831,562.084,857.299,311.736
641.984,573.023,863.384,317.014
641.563,580.650,867.987,320.904
640.891,586.872,872.495,324.882
640.675,592.798,876.089,328.070
640.664,596.780,880.291,331.851
640.477,600.675,884.701,335.893
640.086,605.968,887.425,338.302
639.876,608.975,887.555,338.371
640.029,611.108,904.055,339.408
638.358,615.500,920.394,337.824
627.012,631.835,928.481,337.395
619.459,642.741,934.763,336.553
613.984,650.121,943.866,348.180
608.396,657.281,950.232,363.479
604.883,661.596,954.628,371.531
601.833,665.616,958.238,377.787
597.868,670.286,961.332,382.826
594.190,674.326,963.491,386.956
591.881,677.032,983.083,384.712
589.059,680.217,996.455,382.200
587.767,681.880,1000.379,381.253
585.794,683.791,1000.899,379.876
578.533,687.751,1011.492,390.788
560.528,696.001,1020.342,402.185
548.776,701.233,1025.800,407.292
539.814,704.805,1027.962,417.071
533.690,707.197,1033.009,434.344
528.048,709.380,1036.850,458.018
522.317,711.516,1037.267,488.158
516.419,713.571,1040.015,503.607
511.837,715.070,1042.501,514.436
508.656,716.247,1045.125,523.218
503.946,720.450,1046.706,528.871
497.803,725.327,1048.358,534.246
493.300,729.632,1049.732,539.031
489.499,733.904,1050.901,542.617
484.890,738.823,1038.824,549.808
481.303,742.745,1023.801,566.169
480.567,743.557,1018.768,572.542
478.357,748.386,1014.926,577.803
477.051,763.768,1010.985,583.385
475.688,776.333,1007.838,587.801
475.091,783.989,1005.396,591.297
474.705,790.726,1003.156,594.836
474.561,794.398,1001.736,596.792
474.551,800.144,1000.296,598.762
474.525,803.035,998.949,600.647
474.464,807.984,997.035,603.688
474.332,812.177,997.074,608.355
474.253,812.980,1001.220,624.182
474.159,815.062,1003.851,634.718
474.376,816.944,1006.213,641.710
477.352,821.272,1008.291,647.680
494.724,822.500,1010.577,654.069
511.281,824.896,1012.303,658.685
523.652,826.351,1013.942,663.663
532.267,826.858,1009.249,670.904
538.148,827.435,974.696,675.890
544.547,827.914,949.310,683.742
552.846,828.555,931.892,690.001
557.606,828.596,917.230,695.921
563.832,829.034,907.421,700.065
567.373,829.080,904.632,706.900
569.041,828.997,908.595,736.123
573.696,829.273,909.515,753.715
576.099,829.120,909.966,766.157
581.062,829.470,910.222,775.261
584.543,829.353,910.808,782.535
593.773,834.560,911.027,790.252
606.634,841.453,894.597,788.975
614.203,846.040,877.465,787.178
619.926,849.640,863.940,785.862
624.503,852.937,854.535,785.524
628.139,855.448,848.866,785.144
631.856,858.075,842.998,784.932
635.071,860.328,840.488,785.079
637.927,862.452,835.976,785.269
640.718,864.749,830.799,785.487
643.647,867.393,828.346,785.701
650.067,870.690,824.946,786.000
659.255,876.880,821.865,792.605
664.469,880.361,806.080,808.616
668.935,883.515,795.548,818.555
672.892,886.343,787.543,826.269
677.829,889.869,780.966,832.752
